
FestivalYear	AssignmentDate	StaffCategory	RequiredStaffCount
2022-01-01	2022-10-02	Security	5
2022-01-01	2022-10-02	Auxiliary	2
2022-01-01	2022-10-10	Technical	3
2022-01-01	2022-10-10	Security	1
2022-01-01	2022-10-10	Auxiliary	7
2022-01-01	2022-10-14	Auxiliary	2
2022-01-01	2022-10-18	Technical	1
2022-01-01	2022-10-18	Security	2
2022-01-01	2022-10-18	Auxiliary	1
2022-01-01	2022-10-22	Technical	2
2022-01-01	2022-10-22	Security	3
2022-01-01	2022-10-22	Auxiliary	2
2022-01-01	2022-10-26	Technical	1
2022-01-01	2022-10-26	Auxiliary	2
2023-01-01	2023-02-02	Technical	2
2023-01-01	2023-02-02	Security	4
2023-01-01	2023-02-02	Auxiliary	4
2023-01-01	2023-02-06	Technical	5
2023-01-01	2023-02-06	Auxiliary	1
2023-01-01	2023-02-10	Technical	1
2023-01-01	2023-02-10	Security	5
2023-01-01	2023-02-10	Auxiliary	1
2023-01-01	2023-02-14	Security	6
2023-01-01	2023-02-14	Auxiliary	5
2023-01-01	2023-02-18	Auxiliary	2
2023-01-01	2023-02-22	Technical	1
2023-01-01	2023-02-22	Security	2
2023-01-01	2023-02-22	Auxiliary	2
2023-01-01	2023-02-26	Technical	2
2023-01-01	2023-02-26	Security	2
2023-01-01	2023-02-26	Auxiliary	3
2023-01-01	2023-05-01	Technical	3
2023-01-01	2023-05-01	Security	3
2023-01-01	2023-05-01	Auxiliary	2
2023-01-01	2023-05-05	Technical	2
2023-01-01	2023-05-05	Security	3
2023-01-01	2023-05-05	Auxiliary	2
2023-01-01	2023-05-09	Security	1
2023-01-01	2023-05-13	Technical	1
2023-01-01	2023-05-13	Security	3
2023-01-01	2023-05-13	Auxiliary	2
2023-01-01	2023-05-17	Security	5
2023-01-01	2023-05-17	Auxiliary	2
2023-01-01	2023-05-21	Technical	4
2023-01-01	2023-05-21	Security	3
2023-01-01	2023-05-21	Auxiliary	2
2023-01-01	2023-05-25	Technical	1
2023-01-01	2023-05-25	Security	1
2023-01-01	2023-08-04	Technical	2
2023-01-01	2023-08-04	Security	4
2023-01-01	2023-08-08	Technical	2
2023-01-01	2023-08-08	Security	3
2023-01-01	2023-08-08	Auxiliary	2
2023-01-01	2023-08-12	Technical	2
2023-01-01	2023-08-12	Security	1
2023-01-01	2023-08-12	Auxiliary	3
2023-01-01	2023-08-16	Security	2
2023-01-01	2023-08-16	Auxiliary	3
2023-01-01	2023-08-20	Technical	4
2023-01-01	2023-08-20	Security	5
2023-01-01	2023-08-20	Auxiliary	2
2023-01-01	2023-08-24	Security	2
2023-01-01	2023-08-28	Technical	3
2023-01-01	2023-08-28	Security	1
2023-01-01	2023-08-28	Auxiliary	1
2023-01-01	2023-11-03	Technical	2
2023-01-01	2023-11-03	Security	3
2023-01-01	2023-11-03	Auxiliary	2
2023-01-01	2023-11-07	Technical	3
2023-01-01	2023-11-07	Auxiliary	4
2023-01-01	2023-11-11	Technical	1
2023-01-01	2023-11-11	Security	1
2023-01-01	2023-11-11	Auxiliary	5
2023-01-01	2023-11-15	Technical	3
2023-01-01	2023-11-15	Security	3
2023-01-01	2023-11-19	Security	2
2023-01-01	2023-11-19	Auxiliary	1
2023-01-01	2023-11-23	Technical	3
2023-01-01	2023-11-23	Auxiliary	3
2023-01-01	2023-11-27	Technical	1
2023-01-01	2023-11-27	Security	1
2023-01-01	2023-11-27	Auxiliary	1
2024-01-01	2024-03-03	Technical	2
2024-01-01	2024-03-03	Security	3
2024-01-01	2024-03-03	Auxiliary	3
2024-01-01	2024-03-07	Technical	1
2024-01-01	2024-03-07	Security	2
2024-01-01	2024-03-07	Auxiliary	1
2024-01-01	2024-03-11	Technical	1
2024-01-01	2024-03-11	Security	2
2024-01-01	2024-03-11	Auxiliary	3
2024-01-01	2024-03-15	Technical	1
2024-01-01	2024-03-15	Security	5
2024-01-01	2024-03-19	Technical	1
2024-01-01	2024-03-19	Security	3
2024-01-01	2024-03-19	Auxiliary	2
2024-01-01	2024-03-23	Technical	4
2024-01-01	2024-03-23	Security	2
2024-01-01	2024-03-23	Auxiliary	1
2024-01-01	2024-03-27	Technical	5
2024-01-01	2024-03-27	Auxiliary	1
2024-01-01	2024-06-02	Technical	1
2024-01-01	2024-06-02	Security	5
2024-01-01	2024-06-02	Auxiliary	2
2024-01-01	2024-06-06	Technical	1
2024-01-01	2024-06-06	Security	2
2024-01-01	2024-06-06	Auxiliary	4
2024-01-01	2024-06-10	Technical	2
2024-01-01	2024-06-10	Security	1
2024-01-01	2024-06-10	Auxiliary	3
2024-01-01	2024-06-14	Technical	2
2024-01-01	2024-06-14	Security	5
2024-01-01	2024-06-14	Auxiliary	3
2024-01-01	2024-06-18	Technical	3
2024-01-01	2024-06-18	Security	2
2024-01-01	2024-06-18	Auxiliary	2
2024-01-01	2024-06-22	Technical	2
2024-01-01	2024-06-22	Security	3
2024-01-01	2024-06-22	Auxiliary	1
2024-01-01	2024-06-26	Technical	2
2024-01-01	2024-06-26	Security	2
2024-01-01	2024-06-26	Auxiliary	1
2024-01-01	2024-09-01	Technical	4
2024-01-01	2024-09-01	Auxiliary	1
2024-01-01	2024-09-05	Technical	3
2024-01-01	2024-09-05	Security	3
2024-01-01	2024-09-09	Technical	3
2024-01-01	2024-09-09	Security	6
2024-01-01	2024-09-09	Auxiliary	1
2024-01-01	2024-09-13	Technical	1
2024-01-01	2024-09-13	Security	3
2024-01-01	2024-09-13	Auxiliary	2
2024-01-01	2024-09-17	Technical	2
2024-01-01	2024-09-17	Security	1
2024-01-01	2024-09-17	Auxiliary	2
2024-01-01	2024-09-21	Technical	4
2024-01-01	2024-09-21	Security	2
2024-01-01	2024-09-21	Auxiliary	3
2024-01-01	2024-09-25	Technical	4
2024-01-01	2024-09-25	Security	2
2024-01-01	2024-09-25	Auxiliary	1
2024-01-01	2024-12-04	Technical	2
2024-01-01	2024-12-04	Security	2
2024-01-01	2024-12-04	Auxiliary	1
2024-01-01	2024-12-08	Security	1
2024-01-01	2024-12-08	Auxiliary	1
2024-01-01	2024-12-12	Technical	5
2024-01-01	2024-12-12	Security	3
2024-01-01	2024-12-16	Technical	1
2024-01-01	2024-12-16	Security	1
2024-01-01	2024-12-20	Technical	1
2024-01-01	2024-12-20	Auxiliary	2
2024-01-01	2024-12-24	Technical	3
2024-01-01	2024-12-24	Security	1
2024-01-01	2024-12-24	Auxiliary	4
2024-01-01	2024-12-28	Technical	2
2024-01-01	2024-12-28	Security	1
2024-01-01	2024-12-28	Auxiliary	2
